55,8,85,83,51,49,7,97,79,90,70,82,29,69,91,94,46,67,14,72,82,88,45,19,38,23,34,26,75,46,75,86,72,37,67,6,18,45,11,74,34,84,75,86,96,58,61,61,4,10
17,27,29,51,46,6,72,4,16,79,99,76,24,24,9,69,49,35,23,95,9,95,46,35,29,82,80,35,53,79,58,15,86,25,45,50,38,90,70,2,19,63,10,36,94,77,80,13,32,86
12,91,32,38,74,41,3,10,19,57,83,7,98,96,69,73,57,36,69,73,56,68,24,55,50,39,2,37,19,12,8,64,22,84,75,95,17,14,14,82,1,38,22,67,56,78,92,66,9,2
53,9,7,46,26,47,50,41,27,95,82,8,61,58,94,9,66,38,21,17,49,99,99,78,35,70,28,4,17,2,53,84,6,3,24,19,4,46,51,12,30,66,79,57,49,84,31,64,68,87
45,54,14,71,30,98,20,38,61,46,22,63,24,2,64,18,41,42,59,82,16,53,27,71,40,32,68,77,54,83,1,32,7,41,44,62,56,24,71,90,98,1,72,9,33,46,9,30,71,79
78,11,17,26,21,76,74,90,22,11,23,50,18,92,62,29,61,46,87,86,16,2,79,64,48,40,2,82,20,77,14,21,44,28,59,52,13,14,60,3,26,77,36,53,10,82,95,14,3,29
15,45,40,69,37,44,54,50,28,11,69,99,11,90,12,1,70,30,73,96,78,22,23,8,53,69,3,44,18,18,88,74,51,41,73,67,85,48,71,3,33,84,25,75,42,62,6,29,9,2
38,94,30,59,83,64,11,32,86,58,94,82,72,25,22,33,95,96,67,44,39,34,32,35,18,59,9,92,19,52,4,75,6,23,20,69,82,1,58,63,50,8,66,42,24,28,7,37,48,99
63,19,11,81,61,92,23,49,67,11,27,52,44,39,99,2,27,43,21,70,95,34,54,60,60,59,75,80,30,21,56,93,6,49,99,43,43,30,27,69,42,9,6,20,27,4,82,94,35,21
11,22,51,84,76,94,75,35,43,38,25,4,13,73,87,40,27,63,87,82,29,75,2,67,12,36,96,19,41,3,23,32,95,77,99,28,76,6,52,7,92,62,18,45,87,89,39,17,6,52
32,61,14,99,24,28,41,78,90,96,53,50,67,96,61,48,1,14,54,1,3,63,70,86,21,16,87,1,48,94,7,1,58,34,2,59,51,31,14,61,3,33,38,77,29,24,99,76,72,36
5,14,7,72,60,71,36,7,25,52,49,87,96,80,96,68,14,62,84,26,67,55,58,67,48,76,86,42,20,46,52,89,40,59,11,90,24,83,23,8,25,94,55,15,50,85,36,59,35,25
10,3,45,25,75,40,45,39,59,12,11,69,48,60,4,73,90,33,29,35,37,51,53,34,6,7,39,89,12,15,20,34,69,7,70,92,14,7,78,64,8,17,5,9,6,85,26,95,92,49
8,88,22,61,55,63,37,66,22,43,2,56,50,16,59,82,11,26,49,12,29,19,23,65,29,31,72,65,71,20,7,17,99,67,46,91,3,73,47,5,6,60,1,10,78,9,30,62,3,96
59,76,92,13,86,70,9,2,20,93,86,69,97,83,94,94,73,67,12,73,30,44,5,49,94,68,83,87,22,58,64,83,49,39,70,37,95,26,84,4,71,15,4,99,29,56,16,43,22,11
67,71,14,50,70,69,80,13,68,29,25,66,52,64,12,26,70,34,42,59,46,63,72,50,38,70,25,57,38,4,39,39,57,1,91,69,55,30,83,32,51,74,32,5,30,98,87,10,96,9
43,61,77,6,5,10,82,47,79,33,82,12,97,47,94,48,27,65,14,79,62,16,53,2,45,20,97,96,79,77,24,26,85,30,28,81,77,76,64,79,56,27,27,99,45,73,89,36,52,86
53,17,46,87,12,91,81,47,67,86,9,86,3,55,91,35,79,75,84,8,43,6,19,92,63,85,68,12,14,19,52,28,31,71,98,80,56,31,45,24,5,64,21,95,16,25,97,19,51,95
54,56,36,81,49,67,84,6,74,66,75,51,55,14,74,74,83,62,82,7,9,30,2,36,1,54,7,20,20,81,75,44,79,46,10,44,76,5,4,23,79,49,32,60,51,21,86,53,80,11
57,44,49,48,80,29,4,97,42,45,55,21,11,11,38,46,56,48,20,50,76,80,78,53,51,59,71,73,69,81,7,62,12,12,26,69,77,89,82,14,83,22,92,66,42,22,37,22,85,32
33,44,34,94,77,57,15,55,77,73,71,67,81,52,26,96,94,81,15,4,2,65,49,5,50,33,56,53,99,17,79,59,80,76,83,29,66,65,91,49,96,80,25,54,75,63,76,34,63,87
1,12,43,99,40,5,67,99,12,88,99,47,43,61,74,79,39,87,88,86,66,48,29,44,75,14,40,35,3,88,73,67,18,68,2,5,81,57,61,35,85,5,50,72,12,49,38,57,71,45
46,44,11,28,23,62,14,24,1,75,21,95,69,40,41,80,4,85,5,75,71,10,82,45,4,63,87,89,18,6,62,18,88,47,25,85,97,41,12,29,79,27,86,80,5,17,96,61,7,57
34,46,91,87,36,78,16,92,61,88,32,84,50,6,76,90,30,63,20,51,98,37,19,5,85,23,54,33,56,59,88,38,95,78,45,58,74,51,52,5,67,59,99,55,82,38,17,55,56,92
29,64,36,99,82,24,12,7,87,34,33,69,94,11,44,36,55,7,73,88,58,5,65,11,10,47,25,39,46,69,4,6,56,9,7,74,9,34,89,81,49,63,69,88,25,56,78,21,17,20
68,28,37,28,25,71,86,11,40,88,95,90,63,52,16,14,93,81,51,85,64,19,42,26,89,94,85,45,79,37,89,86,75,86,25,34,34,64,41,38,77,55,45,25,26,17,87,96,41,11
73,81,53,26,97,12,13,91,6,83,29,26,44,52,54,31,40,27,35,45,76,14,21,21,81,45,52,65,84,1,31,21,41,58,17,35,76,6,69,65,33,22,2,98,17,18,69,81,65,42
58,98,93,52,68,37,59,64,74,75,96,24,2,9,77,80,14,68,35,11,22,55,24,3,24,9,37,42,68,46,82,43,20,57,30,55,45,74,21,33,8,6,1,6,9,91,65,7,92,69
38,35,43,76,65,83,29,28,4,59,82,73,26,41,19,66,89,52,78,25,34,3,94,89,27,61,15,36,52,83,13,34,88,82,91,74,53,33,53,53,60,36,44,30,80,27,25,85,14,4
84,34,45,93,62,87,27,74,21,14,60,66,99,90,36,72,60,49,68,81,46,77,83,65,93,82,78,17,38,10,50,45,31,87,58,28,5,41,64,85,31,40,91,48,98,81,70,84,96,90
14,35,70,48,14,83,55,98,3,81,23,95,11,30,8,77,8,34,32,90,5,72,21,33,77,93,52,71,43,68,25,59,54,36,94,86,69,82,85,74,52,76,66,80,13,21,66,88,27,11
70,81,50,90,44,28,14,88,95,42,41,70,64,40,48,6,56,36,44,52,92,32,74,44,25,69,49,74,6,11,60,4,9,42,56,35,57,83,51,25,1,60,88,39,20,78,58,33,5,77
24,55,26,72,98,79,15,1,4,67,90,7,61,98,67,8,84,19,86,36,50,7,37,22,69,49,41,9,53,52,10,71,36,84,71,3,90,65,14,69,51,72,20,20,60,35,57,82,54,77
56,55,29,76,37,96,93,82,31,43,58,41,94,67,80,73,86,20,38,63,77,76,87,70,78,83,41,35,94,84,64,44,19,40,97,92,62,4,23,57,24,85,21,81,35,97,33,20,99,34
69,38,7,34,20,44,8,19,97,80,57,54,43,33,85,55,28,25,10,53,68,58,37,47,98,46,69,55,9,19,65,13,89,51,96,92,32,1,81,33,53,10,71,60,44,45,7,3,85,69
63,5,71,58,57,71,78,70,69,43,58,9,83,1,2,36,53,38,39,57,34,65,66,62,37,45,6,57,29,3,20,59,90,54,16,35,51,15,98,72,85,75,1,92,77,68,50,27,46,15
33,25,98,22,6,52,56,36,53,20,10,88,48,98,68,51,4,19,55,62,47,13,92,93,77,8,79,4,42,1,57,88,18,56,31,34,15,14,47,33,3,67,99,71,38,19,25,71,81,88
55,21,15,79,25,6,7,90,20,63,22,92,78,3,51,8,55,46,98,8,34,58,43,38,53,98,89,40,33,43,68,71,15,24,33,13,76,43,89,44,86,81,66,52,93,62,57,82,89,24
50,85,96,30,2,53,93,41,25,10,29,13,24,54,50,29,9,93,78,90,67,10,51,26,64,11,4,91,20,52,82,8,74,49,56,61,76,20,33,89,30,53,6,91,53,44,16,77,70,48
89,25,41,45,34,88,48,34,2,47,76,58,81,48,10,92,74,67,9,9,44,7,68,4,13,35,16,69,1,37,62,28,96,41,8,61,25,13,70,65,66,57,50,96,22,65,74,80,92,83
64,65,68,97,52,61,7,89,69,57,17,70,63,13,82,47,69,6,65,93,2,92,20,74,25,66,41,77,1,10,72,9,20,52,98,71,10,94,93,37,68,38,96,65,68,74,9,21,2,72
56,17,57,12,77,81,98,68,98,72,70,82,43,38,58,54,79,73,15,61,26,22,46,66,33,47,1,79,86,1,6,99,19,43,71,2,60,93,19,51,12,28,74,59,83,31,55,11,44,17
87,49,7,62,14,67,62,85,16,26,43,93,71,13,32,70,30,98,62,4,89,88,16,2,56,36,4,71,93,72,83,1,67,98,90,15,8,49,23,52,85,7,11,94,41,27,28,91,31,96
92,62,59,72,11,63,49,80,30,99,17,86,66,74,6,80,82,63,22,92,2,75,6,2,53,74,17,78,27,91,56,11,98,58,55,66,21,91,98,16,7,8,98,58,74,5,19,69,39,14
14,9,20,40,6,40,57,49,64,47,13,88,64,50,14,63,90,53,90,96,42,82,79,2,93,20,2,52,5,16,81,29,44,47,11,2,32,44,11,6,41,99,60,82,65,65,12,59,9,87
84,15,54,29,97,39,70,65,21,54,47,35,70,78,61,88,39,83,20,80,90,67,41,23,19,8,27,92,72,24,23,25,5,90,40,89,84,57,97,65,81,1,26,28,70,62,60,25,56,56
